image_id,split,mask_type,mask_path,status,width,height,mode,unique_pixel_values,pixel_min,pixel_max,foreground_pixels,total_pixels,foreground_percentage
IDRiD_01,train,Microaneurysms,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_01_MA.tif,AVAILABLE,4288,2848,P,2,0,1,6941,12212224,0.056836494319134664
IDRiD_01,train,Haemorrhages,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_01_HE.tif,AVAILABLE,4288,2848,P,2,0,1,35430,12212224,0.29011914619319135
IDRiD_01,train,Hard Exudates,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_01_EX.tif,AVAILABLE,4288,2848,P,2,0,1,113286,12212224,0.9276443013164515
IDRiD_01,train,Soft Exudates,MISSING,MISSING,,,,,,,,,
IDRiD_01,train,Optic Disc,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_01_OD.tif,AVAILABLE,4288,2848,P,2,0,1,213851,12212224,1.7511224818673485
IDRiD_02,train,Microaneurysms,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_02_MA.tif,AVAILABLE,4288,2848,P,2,0,1,9446,12212224,0.07734872861814522
IDRiD_02,train,Haemorrhages,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_02_HE.tif,AVAILABLE,4288,2848,P,2,0,1,17356,12212224,0.14211989560623847
IDRiD_02,train,Hard Exudates,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_02_EX.tif,AVAILABLE,4288,2848,P,2,0,1,135394,12212224,1.1086760282156631
IDRiD_02,train,Soft Exudates,MISSING,MISSING,,,,,,,,,
IDRiD_02,train,Optic Disc,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_02_OD.tif,AVAILABLE,4288,2848,P,2,0,1,203568,12212224,1.6669199647828272
IDRiD_03,train,Microaneurysms,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_03_MA.tif,AVAILABLE,4288,2848,P,2,0,1,11288,12212224,0.09243197635418414
IDRiD_03,train,Haemorrhages,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_03_HE.tif,AVAILABLE,4288,2848,P,2,0,1,162605,12212224,1.3314937557647157
IDRiD_03,train,Hard Exudates,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_03_EX.tif,AVAILABLE,4288,2848,P,2,0,1,301586,12212224,2.4695419933338925
IDRiD_03,train,Soft Exudates,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\4. Soft Exudates\IDRiD_03_SE.tif,AVAILABLE,4288,2848,P,2,0,1,3318,12212224,0.02716949836491699
IDRiD_03,train,Optic Disc,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_03_OD.tif,AVAILABLE,4288,2848,P,2,0,1,239059,12212224,1.957538610493879
IDRiD_04,train,Microaneurysms,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_04_MA.tif,AVAILABLE,4288,2848,P,2,0,1,804,12212224,0.006583567415730337
IDRiD_04,train,Haemorrhages,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_04_HE.tif,AVAILABLE,4288,2848,P,2,0,1,59383,12212224,0.4862586863785007
IDRiD_04,train,Hard Exudates,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_04_EX.tif,AVAILABLE,4288,2848,P,2,0,1,5557,12212224,0.045503587225389906
IDRiD_04,train,Soft Exudates,MISSING,MISSING,,,,,,,,,
