image_id,split,image_path,ma_mask_path,he_mask_path,ex_mask_path,se_mask_path,od_mask_path
IDRiD_01,train,D:\RetinaGuard_Data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_01.jpg,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_01_MA.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_01_HE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_01_EX.tif,MISSING,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_01_OD.tif
IDRiD_02,train,D:\RetinaGuard_Data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_02.jpg,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_02_MA.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_02_HE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_02_EX.tif,MISSING,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_02_OD.tif
IDRiD_03,train,D:\RetinaGuard_Data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_03.jpg,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_03_MA.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_03_HE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_03_EX.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\4. Soft Exudates\IDRiD_03_SE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_03_OD.tif
IDRiD_04,train,D:\RetinaGuard_Data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_04.jpg,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_04_MA.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_04_HE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_04_EX.tif,MISSING,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_04_OD.tif
IDRiD_05,train,D:\RetinaGuard_Data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_05.jpg,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_05_MA.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_05_HE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_05_EX.tif,MISSING,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_05_OD.tif
IDRiD_06,train,D:\RetinaGuard_Data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_06.jpg,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_06_MA.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_06_HE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_06_EX.tif,MISSING,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_06_OD.tif
IDRiD_07,train,D:\RetinaGuard_Data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_07.jpg,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_07_MA.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_07_HE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_07_EX.tif,MISSING,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_07_OD.tif
IDRiD_08,train,D:\RetinaGuard_Data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_08.jpg,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_08_MA.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_08_HE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_08_EX.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\4. Soft Exudates\IDRiD_08_SE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_08_OD.tif
IDRiD_09,train,D:\RetinaGuard_Data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_09.jpg,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_09_MA.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_09_HE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_09_EX.tif,MISSING,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_09_OD.tif
IDRiD_10,train,D:\RetinaGuard_Data\idrid\A. Segmentation\1. Original Images\a. Training Set\IDRiD_10.jpg,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\1. Microaneurysms\IDRiD_10_MA.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\2. Haemorrhages\IDRiD_10_HE.tif,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\3. Hard Exudates\IDRiD_10_EX.tif,MISSING,D:\RetinaGuard_Data\idrid\A. Segmentation\2. All Segmentation Groundtruths\a. Training Set\5. Optic Disc\IDRiD_10_OD.tif
